Species,SpecCode,Genus,Author,FBname,DemersPelag,Subfamily,DepthRangeShallow,DepthRangeDeep,DepthRangeComShallow,DepthRangeComDeep,Length,CommonLength,Weight,Northernmost,NorthSouthN,Southermost,NorthSouthS,Westernmost,WestEastW,Easternmost,WestEastE,TempMin,TempMax
Histiodraco velifer,7070,Histiodraco,"(Regan, 1914)",NA,bathydemersal,NA,210,667,NA,NA,20.899999618530273,NA,128.1999969482422,65,S,78,S,NA,NA,NA,NA,NA,NA
Histiogamphelus briggsii,46142,Histiogamphelus,"McCulloch, 1914",Briggs' pipefish,reef-associated,Syngnathinae,3,20,NA,NA,22.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Histiogamphelus cristatus,46143,Histiogamphelus,"(Macleay, 1881)",Macleay's crested pipefish,demersal,Syngnathinae,NA,NA,NA,NA,26.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Histiophryne bougainvilli,24733,Histiophryne,"(Valenciennes, 1837)",Smooth anglerfish,reef-associated,NA,0,6,NA,NA,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Histiophryne cryptacanthus,14043,Histiophryne,"(Weber, 1913)",Cryptic anglerfish,reef-associated,NA,5,130,NA,NA,9.600000381469727,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Histiophryne maggiewalker,66154,Histiophryne,"Arnold & Pietsch, 2011",Queensland frogfish,demersal,NA,7,12,NA,NA,5.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Histiophryne pogonia,66569,Histiophryne,"Arnold, 2012",NA,reef-associated,NA,5,NA,NA,NA,4.809999942779541,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Histiophryne psychedelica,64877,Histiophryne,"Pietsch, Arnold & Hall, 2009",Psychedelic frogfish,demersal,NA,5,10,NA,NA,6.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Histiopterus typus,7892,Histiopterus,"Temminck & Schlegel, 1844",Sailfin armourhead,reef-associated,Histiopterinae,40,421,NA,NA,42,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Histrio histrio,3089,Histrio,"(Linnaeus, 1758)",Sargassumfish,reef-associated,NA,0,50,0,2,20,NA,NA,46,N,36,S,-180,W,180,E,NA,NA
Holacanthus africanus,11163,Holacanthus,"Cadenat, 1951",Guinean angelfish,reef-associated,NA,1,40,NA,NA,45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Holacanthus bermudensis,3608,Holacanthus,"Goode, 1876",Angelfish,reef-associated,NA,2,92,5,25,45,35,NA,35,N,18,N,100,W,64,W,NA,NA
Holacanthus ciliaris,3609,Holacanthus,"(Linnaeus, 1758)",Queen angelfish,reef-associated,NA,1,70,NA,NA,45,30,1600,33,N,35,S,99,W,28,W,NA,NA
Holacanthus clarionensis,11172,Holacanthus,"Gilbert, 1890",Clarion angelfish,reef-associated,NA,NA,NA,NA,NA,20,NA,NA,24,N,10,N,NA,NA,NA,NA,NA,NA
Holacanthus limbaughi,11177,Holacanthus,"Baldwin, 1963",Clipperton angelfish,reef-associated,NA,NA,NA,NA,NA,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Holacanthus passer,8294,Holacanthus,"Valenciennes, 1846",King angelfish,reef-associated,NA,4,30,NA,NA,35.599998474121094,15,NA,28,N,NA,NA,NA,NA,NA,NA,NA,NA
Holacanthus tricolor,3610,Holacanthus,"(Bloch, 1795)",Rock beauty,reef-associated,NA,3,92,3,35,35,30,NA,37,N,29,S,100,W,28,W,NA,NA
Holcomycteronus brucei,7140,Holcomycteronus,"(Dollo, 1906)",NA,bathydemersal,Neobythitinae,2705,4575,NA,NA,30.700000762939453,NA,NA,67,S,68,S,NA,NA,NA,NA,NA,0.8
Hollardia hollardi,12482,Hollardia,"Poey, 1861",Reticulate spikefish,bathydemersal,Hollardiinae,230,915,NA,NA,11.539999961853027,NA,NA,32,N,NA,NA,NA,NA,NA,NA,NA,NA
Hollardia meadi,4271,Hollardia,"Tyler, 1966",Spotted spikefish,demersal,Hollardiinae,54,450,NA,NA,10,NA,NA,30,N,NA,NA,NA,NA,NA,NA,NA,NA
Holocentrus adscensionis,1061,Holocentrus,"(Osbeck, 1765)",Squirrelfish,reef-associated,Holocentrinae,0,180,8,30,61,25,NA,37,N,25,S,97,W,13,E,NA,NA
Holocentrus rufus,1062,Holocentrus,"(Walbaum, 1792)",Longspine squirrelfish,reef-associated,Holocentrinae,0,32,NA,NA,35,25,NA,36,N,28,s,98,w,31,w,NA,NA
Hologymnosus annulatus,5637,Hologymnosus,"(Lacepède, 1801)",Ring wrasse,reef-associated,Corinae,8,40,NA,NA,40,34,NA,32,N,28,S,NA,NA,NA,NA,25,28
Hologymnosus doliatus,5638,Hologymnosus,"(Lacepède, 1801)",Pastel ringwrasse,reef-associated,Corinae,1,35,5,30,50,38,NA,32,N,30,S,NA,NA,NA,NA,25,28
Hologymnosus rhodonotus,7581,Hologymnosus,"Randall & Yamakawa, 1988",Redback longface wrasse,reef-associated,Corinae,15,40,NA,NA,32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Holohalaelurus punctatus,828,Holohalaelurus,"(Gilchrist, 1914)",African spotted catshark,bathydemersal,NA,220,440,NA,NA,35,NA,NA,4,S,37,S,NA,NA,NA,NA,NA,NA
Holohalaelurus regani,829,Holohalaelurus,"(Gilchrist, 1922)",Izak catshark,bathydemersal,NA,NA,1075,150,300,69,NA,NA,4,S,37,S,NA,NA,NA,NA,NA,NA
Holtbyrnia anomala,11312,Holtbyrnia,"Krefft, 1980",Bighead searsid,bathypelagic,NA,700,2700,NA,NA,25,NA,NA,66,N,58,s,98,w,32,e,NA,NA
Holtbyrnia innesi,11316,Holtbyrnia,"(Fowler, 1934)",Teardrop tubeshoulder,bathypelagic,NA,100,1500,NA,NA,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Holtbyrnia laticauda,15817,Holtbyrnia,"Sazonov, 1976",Tusked tubeshoulder,bathypelagic,NA,1140,1630,NA,NA,30,NA,NA,31,S,46,S,NA,NA,NA,NA,NA,NA
Holtbyrnia latifrons,54586,Holtbyrnia,"Sazonov, 1976",Streaklight tubeshoulder,bathypelagic,NA,225,1400,NA,NA,25,NA,NA,55,n,23,S,135,w,70,w,NA,NA
Holtbyrnia macrops,11338,Holtbyrnia,"Maul, 1957",Bigeye searsid,benthopelagic,NA,100,1000,NA,NA,20,NA,NA,70,N,35,S,34,W,20,E,NA,NA
Homostolus acer,8536,Homostolus,"Smith & Radcliffe, 1913",Filament cusk,bathydemersal,Neobythitinae,300,1000,NA,NA,18.399999618530273,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hoplichthys acanthopleurus,10696,Hoplichthys,"Regan, 1908",NA,demersal,NA,120,457,NA,NA,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hoplichthys citrinus,15156,Hoplichthys,"Gilbert, 1905",Lemon ghost flathead,demersal,NA,183,490,NA,NA,21.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hoplichthys fasciatus,23902,Hoplichthys,"Matsubara, 1937",NA,demersal,NA,NA,NA,NA,NA,6.699999809265137,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hoplichthys filamentosus,15158,Hoplichthys,"Matsubara & Ochiai, 1950",Longray ghost flathead,demersal,NA,NA,NA,NA,NA,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hoplichthys gilberti,8261,Hoplichthys,"Jordan & Richardson, 1908",NA,demersal,NA,NA,NA,NA,NA,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hoplichthys haswelli,14346,Hoplichthys,"McCulloch, 1907",Armoured flathead,bathydemersal,NA,140,700,NA,NA,43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hoplichthys langsdorfii,23901,Hoplichthys,"Cuvier, 1829",NA,demersal,NA,NA,NA,NA,NA,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hoplichthys regani,10578,Hoplichthys,"Jordan, 1908",Ghost flathead,bathydemersal,NA,NA,NA,NA,NA,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hoplobrotula armata,12563,Hoplobrotula,"(Temminck & Schlegel, 1846)",Armoured cusk,bathydemersal,Neobythitinae,200,350,NA,NA,70,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hoplobrotula gnathopus,7628,Hoplobrotula,"(Regan, 1921)",False kinglip,benthopelagic,Neobythitinae,180,550,NA,NA,45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hoplolatilus chlupatyi,15341,Hoplolatilus,"Klausewitz, McCosker, Randall & Zetzsche, 1978",Chameleon sand tilefish,reef-associated,NA,30,55,30,NA,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,27
Hoplolatilus cuniculus,5792,Hoplolatilus,"Randall & Dooley, 1974",Dusky tilefish,reef-associated,NA,25,115,30,115,16,NA,NA,30,N,25,S,48,e,149,w,22,27
Hoplolatilus fronticinctus,5793,Hoplolatilus,"(Günther, 1887)",Pastel tilefish,reef-associated,NA,40,70,NA,NA,21,16.899999618530273,NA,24,N,21,S,NA,NA,NA,NA,NA,NA
Hoplolatilus marcosi,13010,Hoplolatilus,"Burgess, 1978",Redback sand tilefish,reef-associated,NA,18,100,30,80,12,10.399999618530273,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,28
Hoplolatilus purpureus,15342,Hoplolatilus,"Burgess, 1978",Purple sand tilefish,reef-associated,NA,30,85,35,70,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,28
Hoplolatilus starcki,5794,Hoplolatilus,"Randall & Dooley, 1974",Stark's tilefish,reef-associated,NA,20,105,20,50,15.5,NA,NA,19,N,23,S,NA,NA,NA,NA,21,26
Hoplopagrus guentherii,1393,Hoplopagrus,"Gill, 1862",Mexican barred snapper,reef-associated,Lutjaninae,0,50,NA,NA,92,50,9580,35,N,5,S,120,W,76,W,NA,NA
Hoplosebastes armatus,23875,Hoplosebastes,"Schmidt, 1929",NA,demersal,Scorpaeninae,NA,NA,NA,NA,12.270000457763672,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hoplostethus atlanticus,334,Hoplostethus,"Collett, 1889",Orange roughy,bathypelagic,NA,180,1809,400,900,75,40,7000,65,N,56,S,84,W,168,W,3,9
Hoplostethus atlanticus,334,Hoplostethus,"Collett, 1889",Orange roughy,bathypelagic,NA,180,1809,400,900,75,40,7000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hoplostethus cadenati,5471,Hoplostethus,"Quéro, 1974",Black slimehead,bathypelagic,NA,70,1000,200,700,30,NA,NA,28,N,27,S,NA,NA,NA,NA,NA,NA
Hoplostethus crassispinus,15678,Hoplostethus,"Kotlyar, 1980",NA,bathypelagic,NA,280,600,NA,NA,25.399999618530273,NA,NA,34,N,18,N,109,E,153,W,NA,NA
Hoplostethus gigas,15635,Hoplostethus,"McCulloch, 1914",Giant sawbelly,bathydemersal,NA,237,311,NA,NA,52.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hoplostethus grandperrini,66718,Hoplostethus,"Roberts & Gomon, 2012",Grandperrin’s giant sawbelly,pelagic-oceanic,NA,500,675,NA,NA,45.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hoplostethus japonicus,15674,Hoplostethus,"Hilgendorf, 1879",Western Pacific roughy,bathypelagic,NA,336,605,NA,NA,12.600000381469727,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hoplostethus latus,14720,Hoplostethus,"McCulloch, 1914",Palefin sawbelly,bathypelagic,NA,146,586,NA,NA,53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hoplostethus mediterraneus,4964,Hoplostethus,"Cuvier, 1829",Mediterranean slimehead,benthopelagic,NA,100,1408,NA,NA,42,20,NA,68,n,78,s,98,w,167,w,NA,NA
Hoplostethus melanopeza,66717,Hoplostethus,"Roberts & Gomon, 2012",New Zealand giant sawbelly,pelagic-oceanic,NA,250,400,NA,NA,51.5,NA,NA,33,s,37,s,NA,NA,NA,NA,NA,NA
Hoplostethus melanopus,10668,Hoplostethus,"(Weber, 1913)",Smallscale slimehead,bathydemersal,NA,400,914,NA,NA,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hoplostethus mento,15696,Hoplostethus,"(Garman, 1899)",Slimy head,bathypelagic,NA,NA,NA,NA,NA,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hoplostethus occidentalis,15670,Hoplostethus,"Woods, 1973",Atlantic Roughy,bathypelagic,NA,485,550,NA,NA,17.299999237060547,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hoplostethus ravurictus,65347,Hoplostethus,"Gomon, 2008",NA,bathydemersal,NA,250,1000,NA,400,14.100000381469727,NA,NA,10,S,20,S,NA,NA,NA,NA,NA,NA
Hoplunnis diomediana,2621,Hoplunnis,"Goode & Bean, 1896",Blacktail pikeconger,demersal,NA,NA,203,NA,NA,36.599998474121094,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hoplunnis macrura,2622,Hoplunnis,"Ginsburg, 1951",Freckled pike-conger,demersal,NA,55,310,NA,NA,54.20000076293945,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hoplunnis punctata,9072,Hoplunnis,"Regan, 1915",Slender duckbill eel,demersal,NA,NA,NA,NA,NA,55.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hoplunnis tenuis,2623,Hoplunnis,"Ginsburg, 1951",Spotted pike-conger,bathydemersal,NA,130,420,NA,NA,46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Howella atlantica,67032,Howella,"Post & Quéro, 1991",Atlantic pelagic basslet,bathypelagic,NA,100,1800,100,1100,11,NA,NA,75,N,25,S,85,W,0,W,NA,NA
Howella brodiei,11780,Howella,"Ogilby, 1899",Pelagic basslet,bathypelagic,NA,100,1829,NA,NA,7.900000095367432,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Howella parini,23395,Howella,"Fedoryako, 1976",NA,bathypelagic,NA,320,430,NA,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Howella sherborni,5054,Howella,"(Norman, 1930)",Sherborn's pelagic bass,bathypelagic,NA,26,950,NA,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Howella zina,23396,Howella,"Fedoryako, 1976",NA,bathypelagic,NA,322,400,NA,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hozukius emblemarius,23872,Hozukius,"(Jordan & Starks, 1904)",NA,demersal,Sebastinae,NA,NA,NA,NA,45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hozukius guyotensis,23873,Hozukius,"Barsukov & Fedorov, 1975",NA,bathydemersal,Sebastinae,500,1000,NA,NA,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Huso dauricus,4633,Huso,"(Georgi, 1775)",Kaluga,demersal,Acipenserinae,0,50,NA,NA,560,NA,1000000,55,N,43,N,NA,NA,NA,NA,10,20
Huso huso,2067,Huso,"(Linnaeus, 1758)",Beluga,pelagic-neritic,Acipenserinae,70,180,NA,NA,800,215,3200000,57,N,35,N,13,E,60,E,10,20
Huso huso,2067,Huso,"(Linnaeus, 1758)",Beluga,pelagic-neritic,Acipenserinae,70,180,NA,NA,800,215,3200000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Huso huso,2067,Huso,"(Linnaeus, 1758)",Beluga,pelagic-neritic,Acipenserinae,70,180,NA,NA,800,215,3200000,49,N,43,N,NA,NA,NA,NA,NA,NA
Huso huso,2067,Huso,"(Linnaeus, 1758)",Beluga,pelagic-neritic,Acipenserinae,70,180,NA,NA,800,215,3200000,51,N,35,N,NA,NA,NA,NA,NA,NA
Hydrolagus affinis,5441,Hydrolagus,"(de Brito Capello, 1868)",Smalleyed rabbitfish,bathydemersal,NA,300,3000,NA,NA,130,NA,NA,70,N,58,s,80,w,41,e,NA,NA
Hydrolagus africanus,10131,Hydrolagus,"(Gilchrist, 1922)",African chimaera,bathydemersal,NA,421,750,NA,NA,67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hydrolagus barbouri,12979,Hydrolagus,"(Garman, 1908)",NA,bathydemersal,NA,100,1100,NA,NA,NA,60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hydrolagus bemisi,60030,Hydrolagus,"Didier, 2002",NA,bathydemersal,NA,400,1100,500,700,111.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hydrolagus colliei,2589,Hydrolagus,"(Lay & Bennett, 1839)",Spotted ratfish,bathydemersal,NA,0,913,50,400,100,NA,NA,59,N,8,N,141,w,83,w,NA,NA
Hydrolagus erithacus,68563,Hydrolagus,"Walovich, Ebert & Kemper, 2017",Robin’s ghostshark,bathydemersal,NA,470,1000,NA,NA,132.39999389648438,NA,NA,39,s,47,s,NA,NA,NA,NA,NA,NA
Hydrolagus homonycteris,64162,Hydrolagus,"Didier, 2008",Black ghostshark,bathydemersal,NA,866,1447,NA,NA,108.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hydrolagus lusitanicus,63207,Hydrolagus,"Moura, Figueiredo, Bordalo-Machado, Almeida & Gordo, 2005",NA,bathydemersal,NA,NA,1600,NA,NA,95.4000015258789,NA,NA,41,N,36,N,10,W,8,W,NA,NA
Hydrolagus macrophthalmus,55060,Hydrolagus,"de Buen, 1959",Big eye chimaera,bathydemersal,NA,590,1160,NA,NA,63.900001525878906,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hydrolagus melanophasma,65072,Hydrolagus,"James, Ebert, Long & Didier, 2009",Eastern Pacific Black Ghostshark,bathydemersal,NA,2,1720,565,1720,120,NA,NA,35,N,40,S,125,W,70,W,NA,NA
Hydrolagus mirabilis,9000,Hydrolagus,"(Collett, 1904)",Large-eyed rabbitfish,bathydemersal,NA,450,1933,800,NA,38,NA,NA,67,n,29,s,98,w,17,e,NA,NA
Hydrolagus mitsukurii,22918,Hydrolagus,"(Jordan & Snyder, 1904)",Spookfish,bathydemersal,NA,716,1054,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hydrolagus novaezealandiae,13146,Hydrolagus,"(Fowler, 1911)",Dark ghost shark,bathydemersal,NA,25,950,100,600,96,55,NA,34,S,47,S,NA,NA,NA,NA,NA,NA
Hydrolagus pallidus,27724,Hydrolagus,"Hardy & Stehmann, 1990",NA,bathydemersal,NA,800,2700,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hydrolagus purpurescens,7378,Hydrolagus,"(Gilbert, 1905)",Purple chimaera,bathydemersal,NA,1150,1951,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hydrolagus trolli,60055,Hydrolagus,"Didier & Séret, 2002",Pointy-nosed blue chimaera,bathydemersal,NA,612,1707,NA,NA,111.5,NA,8800,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hygophum atratum,54409,Hygophum,"(Garman, 1899)",Thickhead lanternfish,bathypelagic,Myctophinae,600,3132,NA,NA,6,NA,NA,30,N,30,S,NA,NA,NA,NA,NA,NA
Hygophum benoiti,1718,Hygophum,"(Cocco, 1838)",Benoit's lanternfish,bathypelagic,Myctophinae,51,700,NA,NA,7.800000190734863,NA,NA,48,N,16,N,NA,NA,NA,NA,NA,NA
Hygophum hanseni,16759,Hygophum,"(Tåning, 1932)",Hansen's lanternfish,bathypelagic,Myctophinae,57,728,NA,NA,6.699999809265137,NA,NA,30,S,43,S,NA,NA,NA,NA,NA,NA
Hygophum hygomii,1719,Hygophum,"(Lütken, 1892)",Bermuda lantern fish,bathypelagic,Myctophinae,0,1485,NA,NA,8.100000381469727,NA,NA,46,N,40,S,NA,NA,NA,NA,NA,NA
Hygophum macrochir,16665,Hygophum,"(Günther, 1864)",Large-finned lanternfish,pelagic-oceanic,Myctophinae,0,750,NA,NA,6,NA,2.799999952316284,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hygophum proximum,4522,Hygophum,"Becker, 1965",Firefly lanternfish,bathypelagic,Myctophinae,0,1000,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hygophum reinhardtii,4520,Hygophum,"(Lütken, 1892)",Reinhardt's lantern fish,bathypelagic,Myctophinae,0,1050,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hygophum taaningi,16291,Hygophum,"Becker, 1965",Tåning’s lanternfish,bathypelagic,Myctophinae,250,1000,NA,NA,6.599999904632568,NA,3.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hymenocephalus italicus,1720,Hymenocephalus,"Giglioli, 1884",Glasshead grenadier,benthopelagic,NA,100,1400,NA,NA,25,NA,NA,43,N,20,S,97,W,35,E,NA,NA
Hymenocephalus lethonemus,23179,Hymenocephalus,"Jordan & Gilbert, 1904",NA,bathydemersal,NA,220,810,NA,NA,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hymenocephalus longibarbis,11690,Hymenocephalus,"(Günther, 1887)",Longbarb whiptail,benthopelagic,NA,430,920,NA,NA,25.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hymenocephalus longiceps,23176,Hymenocephalus,"Smith & Radcliffe, 1912",NA,benthopelagic,NA,490,570,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hymenocephalus striatissimus,23177,Hymenocephalus,"Jordan & Gilbert, 1904",NA,benthopelagic,NA,300,570,NA,NA,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hymenogadus gracilis,16277,Hymenogadus,"(Gilbert & Hubbs, 1920)",Slender membranehead,bathypelagic,NA,300,618,NA,NA,39.599998474121094,NA,235.60000610351562,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hypanus americanus,1247,Hypanus,"(Hildebrand & Schroeder, 1928)",Southern stingray,reef-associated,Dasyatinae,0,53,NA,4,200,90,135630,36,N,4,S,100,W,37,W,NA,NA
Hypanus berthalutzae,69726,Hypanus,"Petean, Naylor & Lima, 2020",NA,demersal,Dasyatinae,NA,NA,NA,NA,68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hypanus dipterurus,2573,Hypanus,"(Jordan & Gilbert, 1880)",Diamond stingray,demersal,Dasyatinae,10,355,NA,NA,167,NA,NA,42,N,25,s,125,w,70,w,NA,NA
Hypanus guttatus,1248,Hypanus,"(Bloch & Schneider, 1801)",Longnose stingray,demersal,Dasyatinae,1,36,NA,NA,200,125,NA,22,N,24,S,97,W,30,W,NA,NA
Hypanus longus,13178,Hypanus,"(Garman, 1880)",Longtail stingray,reef-associated,Dasyatinae,NA,NA,NA,NA,260,NA,NA,26,N,3,S,113,W,76,W,NA,NA
Hypanus marianae,57696,Hypanus,"(Gomes, Rosa & Gadig, 2000)",Brazilian large-eyed stingray,demersal,Dasyatinae,2,15,NA,NA,40,NA,NA,0,S,19,S,38,w,45,W,NA,NA
Hypanus rudis,8967,Hypanus,"(Günther, 1870)",Smalltooth stingray,demersal,Dasyatinae,NA,NA,NA,NA,320,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hypanus sabinus,2574,Hypanus,"(Lesueur, 1824)",Atlantic stingray,demersal,Dasyatinae,2,25,2,6,61,27,4870,39,N,17,N,100,W,75,W,NA,NA
Hypanus say,2575,Hypanus,"(Lesueur, 1817)",Bluntnose stingray,demersal,Dasyatinae,1,10,1,NA,104,NA,NA,45,N,28,S,95,W,33,W,NA,NA
Hyperlophus vittatus,1573,Hyperlophus,"(Castelnau, 1875)",Sandy sprat,pelagic-neritic,NA,10,13,NA,NA,10,NA,NA,25,S,40,S,112,E,155,E,NA,NA
Hyperoglyphe antarctica,496,Hyperoglyphe,"(Carmichael, 1819)",Bluenose warehou,benthopelagic,NA,40,1500,260,490,140,60,63000,19,S,55,S,67,W,173,W,NA,NA
Hyperoglyphe bythites,3920,Hyperoglyphe,"(Ginsburg, 1954)",Black driftfish,pelagic-oceanic,NA,NA,403,NA,NA,60,NA,NA,30,N,29,N,87,W,89,W,NA,NA
Hyperoglyphe japonica,13043,Hyperoglyphe,"(Döderlein, 1884)",Pacific barrelfish,benthopelagic,NA,150,1537,NA,NA,90,NA,10200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hyperoglyphe perciformis,3921,Hyperoglyphe,"(Mitchill, 1818)",Barrelfish,pelagic-oceanic,NA,NA,NA,NA,NA,91,30,12300,48,N,24,N,89,W,5,W,NA,NA
Hyperoglyphe pringlei,26374,Hyperoglyphe,"(Smith, 1949)",Black butterfish,benthopelagic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hyperoplus immaculatus,1373,Hyperoplus,"(Corbin, 1950)",Greater sand-eel,demersal,NA,25,80,NA,NA,35,NA,NA,58,N,48,N,11,W,9,E,NA,NA
Hyperoplus lanceolatus,1374,Hyperoplus,"(Le Sauvage, 1824)",Great sandeel,demersal,NA,6,30,NA,NA,40,20,NA,80,N,37,N,25,W,36,E,NA,NA
Hyperprosopon anale,3630,Hyperprosopon,"Agassiz, 1861",Spotfin surfperch,demersal,NA,0,101,NA,NA,20,14,NA,46,n,27,n,125,w,114,w,NA,NA
Hyperprosopon argenteum,3631,Hyperprosopon,"Gibbons, 1854",Walleye surfperch,demersal,NA,NA,18,NA,NA,30,NA,NA,52,n,26,n,130,w,113,w,NA,NA
Hyperprosopon ellipticum,3632,Hyperprosopon,"(Gibbons, 1854)",Silver surfperch,demersal,NA,0,110,NA,NA,27,NA,NA,56,n,30,N,135,w,116,w,NA,NA
Hypleurochilus aequipinnis,3757,Hypleurochilus,"(Günther, 1861)",Oyster blenny,reef-associated,Salariinae,NA,NA,NA,NA,7.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hypleurochilus bananensis,16293,Hypleurochilus,"(Poll, 1959)",NA,demersal,Salariinae,0,30,0,5,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hypleurochilus bermudensis,3758,Hypleurochilus,"Beebe & Tee-Van, 1933",Barred blenny,reef-associated,Salariinae,NA,NA,NA,NA,10,NA,NA,33,N,9,N,99,W,64,W,NA,NA
Hypleurochilus brasil,67092,Hypleurochilus,"Pinheiro, Gasparini & Rangel, 2013",Brazil blenny,reef-associated,Salariinae,3,15,NA,NA,3.0850000381469727,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hypleurochilus caudovittatus,61240,Hypleurochilus,"Bath, 1994",Zebratail blenny,reef-associated,Salariinae,NA,NA,NA,NA,5.900000095367432,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hypleurochilus fissicornis,52386,Hypleurochilus,"(Quoy & Gaimard, 1824)",NA,demersal,Salariinae,NA,NA,NA,NA,8.899999618530273,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
