Species,SpecCode,Genus,Author,FBname,DemersPelag,Subfamily,DepthRangeShallow,DepthRangeDeep,DepthRangeComShallow,DepthRangeComDeep,Length,CommonLength,Weight,Northernmost,NorthSouthN,Southermost,NorthSouthS,Westernmost,WestEastW,Easternmost,WestEastE,TempMin,TempMax
Rhynchoconger gracilior,2629,Rhynchoconger,"(Ginsburg, 1951)",Whiptail conger,bathydemersal,Congrinae,203,NA,NA,NA,61,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rhynchohyalus natalensis,9123,Rhynchohyalus,"(Gilchrist & von Bonde, 1924)",Glasshead barreleye,pelagic-oceanic,NA,NA,775,NA,NA,16,NA,NA,35,N,49,S,89,W,154,W,NA,NA
Rhynchopelates oxyrhynchus,6581,Rhynchopelates,"(Temminck & Schlegel, 1842)",NA,benthopelagic,NA,NA,NA,NA,NA,25,NA,NA,40,N,5,N,105,E,132,E,NA,NA
Rhynchorhamphus georgii,4666,Rhynchorhamphus,"(Valenciennes, 1847)",Long billed half beak,pelagic-neritic,NA,0,NA,NA,NA,31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rhynchorhamphus malabaricus,25000,Rhynchorhamphus,"Collette, 1976",Malabar halfbeak,pelagic-neritic,NA,0,NA,NA,NA,35,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rhynchostracion nasus,8192,Rhynchostracion,"(Bloch, 1785)",Shortnose boxfish,reef-associated,NA,2,80,NA,NA,30,NA,NA,19,N,20,S,NA,NA,NA,NA,NA,NA
Ribeiroclinus eigenmanni,6437,Ribeiroclinus,"(Jordan, 1888)",NA,benthopelagic,NA,NA,17,NA,NA,9.199999809265137,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Richardsonichthys leucogaster,12897,Richardsonichthys,"(Richardson, 1848)",Whiteface waspfish,reef-associated,NA,8,90,NA,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ricuzenius pinetorum,61289,Ricuzenius,"Jordan & Starks, 1904",NA,demersal,NA,147,183,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rimicola muscarum,3081,Rimicola,"(Meek & Pierson, 1895)",Kelp clingfish,demersal,Gobiesocinae,NA,NA,NA,NA,7,NA,NA,55,N,NA,NA,NA,NA,NA,NA,NA,NA
Rinoctes nasutus,11219,Rinoctes,"(Koefoed, 1927)",Abyssal smooth-head,bathypelagic,NA,2000,4156,3650,NA,19,NA,NA,55,N,18,N,93,W,12,W,NA,NA
