Species,SpecCode,DepthRangeShallow,DepthRangeDeep,Northernmost,NorthSouthN,Southermost,NorthSouthS,Westernmost,WestEastW,Easternmost,WestEastE,TempMin,TempMax
Acipenser gueldenstaedtii,4712,2,100,61,N,35,N,26,E,54,E,10,20
Acipenser gueldenstaedtii,4712,2,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acipenser gueldenstaedtii,4712,2,100,49,N,43,N,NA,NA,NA,NA,NA,NA
Acipenser gueldenstaedtii,4712,2,100,52,N,35,N,NA,NA,NA,NA,NA,NA
Acipenser gueldenstaedtii,4712,2,100,48,N,45,N,NA,NA,NA,NA,NA,NA
Acipenser medirostris,2592,0,80,65,N,32,N,166,W,114,W,10,20
Acipenser mikadoi,9762,NA,NA,56,N,33,N,125,E,145,E,NA,NA
Acipenser naccarii,2504,10,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acipenser naccarii,2504,10,40,46,N,37,N,10,E,20,E,NA,NA
Acipenser nudiventris,2505,30,60,57,N,36,N,14,E,53,E,10,20
Acipenser nudiventris,2505,30,60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acipenser nudiventris,2505,30,60,50,N,43,N,NA,NA,NA,NA,NA,NA
Acipenser nudiventris,2505,30,60,49,N,35,N,NA,NA,NA,NA,NA,NA
Acipenser oxyrinchus,2593,1,46,56,N,10,S,102,W,33,W,NA,NA
Acipenser oxyrinchus,2593,1,46,32,N,28,N,NA,NA,NA,NA,NA,NA
Acipenser persicus,9763,NA,NA,52,N,36,N,38,E,54,E,NA,NA
Acipenser persicus,9763,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acipenser schrenckii,6085,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,20
Acipenser sinensis,8762,NA,NA,35,N,2,S,97,W,132,E,NA,NA
Acipenser stellatus,2065,10,100,61,N,36,N,13,E,54,E,10,20
Acipenser stellatus,2065,10,100,48,N,43,N,NA,NA,NA,NA,NA,NA
Acipenser stellatus,2065,10,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acipenser stellatus,2065,10,100,47,N,45,N,NA,NA,NA,NA,NA,NA
Acipenser sturio,2066,4,93,71,N,34,N,25,W,42,E,10,18
Acipenser transmontanus,2594,1,122,58,N,24,N,163,W,107,W,0,23.2999992370605
Acipenser transmontanus,2594,1,122,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acipenser transmontanus,2594,1,122,51,N,50,N,NA,NA,NA,NA,NA,NA
Acreichthys hajam,24250,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acreichthys radiatus,7974,2,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acreichthys tomentosus,7849,2,15,30,N,27,S,55,E,174,W,22,28
Acromycter nezumi,23291,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acromycter perturbator,58562,NA,1318,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acropoma argentistigma,59893,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acropoma boholensis,59419,NA,1000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acropoma hanedai,9232,50,400,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acropoma japonicum,1267,35,100,36,N,37,S,21,E,154,W,NA,NA
Acropoma lecorneti,59169,275,360,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acropoma leobergi,69834,100,253,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acropoma splendens,70358,45,414,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acroteriobatus annulatus,5509,75,NA,17,s,36,s,10,e,34,e,NA,NA
Acroteriobatus blochii,7968,NA,NA,23,S,35,S,12,E,18,E,NA,NA
Acroteriobatus leucospilus,5510,0,100,NA,NA,32,S,NA,NA,NA,NA,NA,NA
Acroteriobatus variegatus,57445,10,40,15,n,5,n,75,e,80,e,NA,NA
Aculeola nigra,644,110,560,6,S,37,S,NA,NA,NA,NA,NA,NA
Acyrtops amplicirrus,57913,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acyrtops beryllinus,3073,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acyrtus artius,16662,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acyrtus lanthanum,67983,0,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acyrtus pauciradiatus,62176,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acyrtus rubiginosus,16677,0,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Adelosebastes latens,23885,900,1200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Adelotremus deloachi,68806,10,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aenigmachanna gollum,69391,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aeoliscus punctulatus,7986,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aeoliscus strigatus,6503,2,42,32,N,32,S,38,e,170,e,NA,NA
Aesopia cornuta,7850,8,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aetapcus maculatus,12086,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aethaloperca rogaa,6441,3,60,31,N,31,S,30,E,178,W,NA,NA
Aethotaxis mitopteryx,7037,400,1500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aetobatus flagellum,8973,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aetobatus laticeps,69023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aetobatus narinari,1250,1,80,36,n,24,s,98,w,15,e,NA,NA
Aetobatus narutobiei,67276,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aetobatus ocellatus,12600,1,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aetomylaeus bovinus,5011,10,150,44,N,35,S,19,W,36,E,NA,NA
Agonomalus jordani,23989,10,105,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Agonomalus mozinoi,4150,1,11,55,N,34,N,NA,NA,NA,NA,NA,NA
Agonomalus proboscidalis,13066,20,102,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Agonopsis chiloensis,12932,3,400,10,S,56,S,83,W,53,W,NA,NA
Agonopsis sterletus,4151,42,91,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Agonopsis vulsa,4152,0,163,72,N,35,N,178,W,120,W,NA,NA
Agonostomus telfairii,7860,NA,NA,4,S,25,S,NA,NA,NA,NA,NA,NA
Agonus cataphractus,36,0,270,77,N,43,N,28,W,46,E,4,8
Agrostichthys parkeri,16851,NA,NA,25,S,59,S,NA,NA,NA,NA,NA,NA
Alepisaurus ferox,99,0,1830,84,N,57,S,180,W,180,E,NA,NA
Alepocephalus agassizii,9171,600,2500,70,N,15,N,72,W,5,W,NA,NA
Alepocephalus antipodianus,58901,430,1160,23,S,50,S,65,E,160,W,NA,NA
Alepocephalus australis,9172,1000,2600,55,N,56,S,180,W,180,E,NA,NA
Alepocephalus bairdii,230,365,1700,66,N,17,N,78,W,0,E,NA,NA
Alepocephalus bicolor,7592,439,1080,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
