Species,SpecCode,DepthRangeShallow,DepthRangeDeep,Northernmost,NorthSouthN,Southermost,NorthSouthS,Westernmost,WestEastW,Easternmost,WestEastE,TempMin,TempMax
Hemerocoetes morelandi,49322,NA,139,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hemiarius stormii,23388,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hemicaranx amblyrhynchus,997,NA,50,37,N,41,S,98,W,34,W,NA,NA
Hemicaranx bicolor,1942,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hemicaranx leucurus,1943,NA,NA,24,N,2,S,NA,NA,NA,NA,NA,NA
Hemicaranx zelotes,1944,NA,NA,33,N,20,S,NA,NA,NA,NA,NA,NA
Hemiemblemaria simula,3727,NA,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hemigaleus australiensis,62544,12,170,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hemigaleus microstoma,5897,NA,NA,28,N,30,S,NA,NA,NA,NA,22,27.6000003814697
Hemigaleus microstoma,5897,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hemiglyphidodon plagiometopon,5487,1,20,32,N,25,S,92,e,171,e,NA,NA
Hemigobius hoevenii,25078,0,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hemigobius mingi,59870,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Heterostichus rostratus,3728,0,40,42,n,14,n,125,w,92,w,NA,NA
Hexagrammos agrammus,8169,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hexagrammos decagrammus,4032,NA,46,66,N,32,N,NA,NA,NA,NA,NA,NA
Hexagrammos lagocephalus,4033,0,596,67,N,29,N,116,E,119,W,NA,NA
Hirundichthys affinis,7457,0,100,41,N,13,S,98,w,14,e,NA,NA
Hirundichthys albimaculatus,13715,0,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hirundichthys coromandelensis,14292,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hirundichthys marginatus,13693,0,NA,27,N,NA,NA,NA,NA,NA,NA,NA,NA
Hirundichthys oxycephalus,1034,0,20,30,N,34,S,NA,NA,NA,NA,NA,NA
Hirundichthys rondeletii,1035,0,1,43,N,34,S,NA,NA,NA,NA,NA,NA
Hirundichthys rufipinnis,67994,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hirundichthys speculiger,1036,0,NA,42,n,36,s,180,w,180,e,NA,NA
Hirundichthys volador,67993,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hypoatherina temminckii,1307,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hypoatherina tsurugae,23372,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hypoatherina valenciennei,15462,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hypoatherina woodwardi,23371,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hypogaleus hyugaensis,5928,40,230,37,N,40,S,NA,NA,NA,NA,NA,NA
Hypomesus japonicus,23752,0,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hypomesus nipponensis,2695,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hemigymnus fasciatus,5635,0,25,30,N,30,S,33,e,122,w,NA,NA
Hemigymnus melapterus,5636,0,30,30,N,36,S,24,e,138,w,24,28
Hemigymnus sexfasciatus,67433,1,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hemilepidotus gilberti,23903,0,604,66,N,NA,NA,NA,NA,NA,NA,NA,NA
Hemilepidotus hemilepidotus,4093,0,450,66,N,34,N,NA,NA,NA,NA,NA,NA
Hemilepidotus jordani,4094,257,604,66,N,54,N,154,E,134,W,NA,NA
Hemilepidotus papilio,4115,4,320,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hemilepidotus spinosus,4095,0,780,59,N,32,N,NA,NA,NA,NA,NA,NA
Hemilepidotus zapus,4096,61,530,66,N,51,N,NA,NA,NA,NA,0.4,3.7
Hemilutjanus macrophthalmos,58279,10,55,2,N,54,s,92,w,70,w,NA,NA
Hemipristis elongata,5898,1,130,41,N,34,S,12,E,156,E,NA,NA
Hemiramphus archipelagicus,14303,0,NA,27,N,23,S,53,E,157,W,NA,NA
Hemiramphus balao,1057,0,5,41,N,13,S,98,w,14,e,NA,NA
Hemiramphus brasiliensis,1059,0,5,43,N,13,S,NA,NA,NA,NA,NA,NA
Hemiramphus convexus,16884,0,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hemiramphus depauperatus,7507,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hemiramphus far,5404,0,6,35,N,36,S,18,e,159,w,NA,NA
Hemiramphus lutkei,7709,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hemiramphus marginatus,9963,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hemiramphus robustus,16811,0,NA,32,s,40,s,NA,NA,NA,NA,NA,NA
Hemiramphus saltator,3157,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hemiscyllium freycineti,5904,0,12,0,S,10,S,128,E,153,E,NA,NA
Hemiscyllium galei,63706,2,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hemiscyllium hallstromi,5905,0,15,7,S,10,S,144,E,146,E,NA,NA
Hemiscyllium halmahera,67088,5,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hemiscyllium henryi,63708,3,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hemiscyllium michaeli,65392,2,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hemiscyllium ocellatum,5906,0,50,1,S,34,S,112,E,163,E,NA,NA
Hemiscyllium ocellatum,5906,0,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hemiscyllium strahani,5907,3,18,5,S,10,S,144,E,153,E,NA,NA
Hemiscyllium trispeculare,5908,0,50,8,S,22,S,114,E,152,E,NA,NA
Hemitaurichthys polylepis,5586,0,60,35,N,25,S,92,e,124,w,NA,NA
Hemitaurichthys thompsoni,5587,4,300,31,N,24,S,136,e,130,w,NA,NA
Hemitaurichthys zoster,7795,1,40,NA,NA,28,S,NA,NA,NA,NA,NA,NA
Hemitriakis complicofasciata,63785,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hemitriakis falcata,53943,NA,150,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hemitriakis japanica,5926,20,345,40,N,19,N,112,e,141,E,NA,NA
Hemitriakis leucoperiptera,5927,NA,48,20,N,5,N,NA,NA,NA,NA,NA,NA
Hemitripterus bolini,4098,25,925,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hemitripterus villosus,11725,0,550,66,N,NA,NA,NA,NA,NA,NA,NA,NA
Hemitrygon akajei,940,10,50,43,N,23,N,NA,NA,NA,NA,NA,NA
Hemitrygon bennettii,15387,1,40,36,n,24,s,48,e,169,e,NA,NA
Hemitrygon fluviorum,12583,1,40,9,S,37,S,129,E,155,E,NA,NA
Hemitrygon izuensis,54631,10,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hemitrygon laevigata,54629,NA,60,35,n,20,n,116,e,135,e,NA,NA
Hemitrygon parvonigra,64143,60,185,20,n,20,s,115,e,128,e,NA,NA
Heniochus acuminatus,5588,2,178,30,N,35,S,NA,NA,NA,NA,NA,NA
Heniochus chrysostomus,5589,2,60,32,N,28,S,NA,NA,NA,NA,NA,NA
Heniochus diphreutes,7769,5,210,30,N,30,S,NA,NA,NA,NA,NA,NA
Heniochus intermedius,12309,3,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Heniochus monoceros,5590,2,30,32,N,32,S,NA,NA,NA,NA,NA,NA
Heniochus pleurotaenia,12528,1,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Heniochus singularius,5591,2,250,32,N,23,S,NA,NA,NA,NA,NA,NA
Heniochus varius,5592,0,30,35,N,29,S,105,e,137,w,NA,NA
Heptranchias perlo,636,0,1000,58,N,58,S,98,W,173,W,NA,NA
Heraldia nocturna,46137,2,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Herklotsichthys blackburni,1487,0,50,14,S,21,S,118,E,127,E,NA,NA
Herklotsichthys castelnaui,1488,0,50,24,S,39,S,149,W,156,E,NA,NA
Herklotsichthys dispilonotus,1489,0,50,20,N,9,S,98,E,129,E,NA,NA
Herklotsichthys gotoi,1490,0,50,4,S,19,S,135,E,149,E,NA,NA
Herklotsichthys koningsbergeri,1491,0,50,13,S,27,S,112,E,126,E,NA,NA
Herklotsichthys lippa,1496,NA,NA,9,S,24,S,NA,NA,NA,NA,NA,NA
Herklotsichthys lossei,1492,0,50,31,N,24,N,47,E,57,E,NA,NA
Herklotsichthys punctatus,1493,0,50,37,N,12,N,29,E,45,E,NA,NA
Herklotsichthys quadrimaculatus,1494,0,13,39,N,33,S,29,E,166,W,NA,NA
Herwigia kreffti,10888,1000,3200,53,N,49,S,32,W,154,W,NA,NA
Hetereleotris nasoramosa,69775,8,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hetereleotris vulgaris,46402,4,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hetereleotris zonata,8037,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Heteroclinus adelaidae,52465,NA,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Heteroclinus eckloniae,51519,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Heteroclinus heptaeolus,51517,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Heteroclinus johnstoni,52470,0,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Heteroclinus kuiteri,64526,5,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Heteroclinus macrophthalmus,52466,1,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Heteroclinus nasutus,51518,1,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Heteroclinus perspicillatus,51521,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Heteroclinus puellarum,59442,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Heteroclinus roseus,23743,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Heteroclinus tristis,52467,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Heteroclinus whiteleggii,56204,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Heteroclinus wilsoni,56202,0,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Heteroconger hassi,12619,1,50,30,N,23,S,NA,NA,NA,NA,25,29
Heteroconger lentiginosus,55150,21,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Heteroconger longissimus,9062,10,60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Heteroconger luteolus,55053,NA,33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Heteroconger polyzona,55152,1,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Heterodontus francisci,739,0,152,37,N,15,S,124,W,75,W,NA,NA
Heterodontus galeatus,740,0,93,27,S,35,S,150,E,155,E,NA,NA
Heterodontus japonicus,741,6,100,43,N,23,N,118,E,143,E,NA,NA
Heterodontus mexicanus,742,0,50,31,N,18,S,115,W,80,W,NA,NA
Heterodontus portusjacksoni,743,0,275,23,S,44,S,112,E,154,E,NA,NA
Heterodontus quoyi,744,3,40,0,S,10,S,90,W,71,W,NA,NA
Heterodontus zebra,746,0,200,40,N,20,S,103,E,155,E,NA,NA
Heteromycteris capensis,7926,1,NA,23,S,35,S,NA,NA,NA,NA,NA,NA
Heteromycteris hartzfeldii,24053,2,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Heteromycteris japonicus,8971,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Heteromycteris matsubarai,24242,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Heteromycteris oculus,24416,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Heterophotus ophistoma,11706,790,1420,55,N,40,S,85,W,125,W,NA,NA
Heteroplopomus barbatus,23665,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Heteropriacanthus cruentatus,1150,3,300,33,N,32,S,180,W,180,E,NA,NA
Heteroscarus acroptilus,12837,1,15,31,S,41,S,NA,NA,NA,NA,NA,NA
Hexagrammos octogrammus,4034,0,200,66,N,30,N,120,E,120,W,NA,NA
Hexagrammos otakii,6598,139,155,50,n,26,N,120,e,152,e,NA,NA
Hexagrammos stelleri,4035,0,300,66,N,42,N,NA,NA,NA,NA,NA,NA
Hexanchus griseus,637,1,2500,65,N,48,S,180,W,180,E,6,10
Hexanchus nakamurai,638,0,700,33,N,36,S,30,E,178,W,NA,NA
Hexanematichthys sagor,1281,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hexatrygon bickelli,4510,350,1120,46,n,37,s,16,e,154,w,NA,NA
Hilsa kelee,1595,10,NA,25,N,18,S,43,E,155,E,NA,NA
Himantolophus albinares,16888,330,1950,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Himantolophus appelii,24762,338,1360,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Himantolophus azurlucens,58782,900,1100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Himantolophus borealis,58779,1210,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Himantolophus groenlandicus,3099,NA,1830,70,n,50,s,98,w,0,e,NA,NA
Himantolophus litoceras,65815,NA,654,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Himantolophus sagamius,58777,613,1200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Himantolophus stewarti,66395,400,1413,47,S,48,S,148,E,149,E,NA,NA
Himantura fava,63625,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Himantura leoparda,64147,NA,70,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Himantura microphthalma,54628,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Himantura tutul,67649,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Himantura uarnak,5507,20,50,38,N,37,S,34,e,149,w,23,26
Himantura undulata,12584,NA,NA,30,N,24,S,NA,NA,NA,NA,NA,NA
Hime japonica,7400,85,510,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hime pyrhistion,67535,80,380,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hippichthys cyanospilos,7728,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hippichthys penicillus,7729,NA,NA,34,N,34,S,NA,NA,NA,NA,NA,NA
Hippichthys spicifer,7495,0,3,33,N,15,S,NA,NA,NA,NA,23,28
Hippocampus abdominalis,46324,0,104,24,S,50,S,80,E,120,W,NA,NA
Hippocampus algiricus,53788,0,25,15,N,15,S,27,w,14,e,NA,NA
Hippocampus angustus,13100,3,63,10,S,24,S,NA,NA,NA,NA,NA,NA
Hippocampus barbouri,53789,0,12,16,N,10,S,105,E,127,E,NA,NA
Hippocampus bargibanti,53790,0,40,3,N,23,S,NA,NA,NA,NA,NA,NA
Hippocampus borboniensis,53791,NA,60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hippocampus breviceps,25926,0,15,21,S,43,S,NA,NA,NA,NA,NA,NA
Hippocampus camelopardalis,7983,0,60,5,S,34,S,NA,NA,NA,NA,NA,NA
Hippocampus capensis,6303,0,27,33,S,34,S,NA,NA,NA,NA,18,22
Hippocampus casscsio,68566,NA,NA,22,s,18,s,107,e,111,e,NA,NA
Hippocampus comes,53792,0,32,15,N,10,S,91,E,128,E,NA,NA
Hippocampus coronatus,23141,0,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hippocampus denise,60329,7,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hippocampus erectus,3283,0,100,50,N,32,S,98,W,32,W,10,27
Hippocampus fisheri,53803,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hippocampus fuscus,25955,0,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hippocampus guttulatus,1802,0,30,63,N,20,N,32,W,36,E,NA,NA
Hippocampus haema,68696,0,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hippocampus hippocampus,1801,0,60,53,N,7,N,32,W,42,E,NA,NA
Hippocampus histrix,5954,0,82,35,N,35,S,22,e,132,w,NA,NA
Hippocampus ingens,3284,0,60,37,n,22,s,123,w,70,w,NA,NA
Hippocampus japapigu,68763,5,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hippocampus jayakari,53814,0,80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hippocampus jugumus,59700,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hippocampus kelloggi,53815,1,150,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hippocampus kuda,5955,0,68,39,N,28,S,32,E,154,W,NA,NA
Hippocampus mohnikei,53911,0,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hippocampus nalu,69401,12,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hippocampus patagonicus,62875,0,120,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hippocampus pontohi,64800,3,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hippocampus reidi,3285,0,60,29,N,25,S,133,W,40,W,NA,NA
Hippocampus sindonis,23138,0,75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hippocampus spinosissimus,25974,10,80,27,N,36,S,76,E,155,E,22,27
Hippocampus subelongatus,53914,0,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hippocampus trimaculatus,22816,0,100,42,n,42,s,65,e,132,w,NA,NA
Hippocampus whitei,22818,0,46,20,S,35,S,145,E,160,E,NA,NA
Hippocampus zosterae,3286,0,10,33,N,17,N,99,w,64,w,NA,NA
Hippoglossina bollmani,13965,66,121,27,N,NA,NA,NA,NA,NA,NA,NA,NA
Hippoglossina oblonga,4229,NA,311,48,N,23,N,83,W,57,W,NA,NA
Hippoglossina stomata,4225,30,137,37,N,20,N,123,w,105,w,NA,NA
Hippoglossina tetrophthalma,13967,NA,140,32,N,5,S,116,W,77,W,NA,NA
Hippoglossoides dubius,8845,10,600,33,N,53,N,122,E,158,E,NA,NA
Hippoglossoides elassodon,519,0,1050,51,N,29,N,97,E,90,W,NA,NA
Hippoglossoides platessoides,4239,10,3000,80,N,41,N,72,W,55,E,NA,NA
Hippoglossoides robustus,4240,0,530,77,n,43,n,135,e,131,w,NA,NA
Hippoglossus hippoglossus,1371,50,2000,79,N,36,N,77,W,55,E,NA,NA
Hippoglossus stenolepis,514,0,1200,73,N,42,N,138,E,123,W,NA,NA
Hipposcarus harid,7906,1,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hipposcarus longiceps,5539,0,40,30,N,24,S,95,e,141,w,NA,NA
Histiobranchus bathybius,6958,295,5440,70,N,56,S,180,W,180,E,1.39999997615814,5.80000019073486
Histiobranchus bruuni,24270,3493,4974,33,S,55,S,NA,NA,NA,NA,NA,NA
Histiodraco velifer,7070,210,667,65,S,78,S,NA,NA,NA,NA,NA,NA
Histiogamphelus briggsii,46142,3,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Histiogamphelus cristatus,46143,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Histiophryne bougainvilli,24733,0,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Histiophryne cryptacanthus,14043,5,130,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Histiophryne maggiewalker,66154,7,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Histiophryne pogonia,66569,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Histiophryne psychedelica,64877,5,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Histiopterus typus,7892,40,421,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Histrio histrio,3089,0,50,46,N,36,S,-180,W,180,E,NA,NA
Holacanthus africanus,11163,1,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Holacanthus bermudensis,3608,2,92,35,N,18,N,100,W,64,W,NA,NA
Holacanthus ciliaris,3609,1,70,33,N,35,S,99,W,28,W,NA,NA
Holacanthus clarionensis,11172,NA,NA,24,N,10,N,NA,NA,NA,NA,NA,NA
Holacanthus limbaughi,11177,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Holacanthus passer,8294,4,30,28,N,NA,NA,NA,NA,NA,NA,NA,NA
Holacanthus tricolor,3610,3,92,37,N,29,S,100,W,28,W,NA,NA
Holcomycteronus brucei,7140,2705,4575,67,S,68,S,NA,NA,NA,NA,NA,0.8
Hollardia hollardi,12482,230,915,32,N,NA,NA,NA,NA,NA,NA,NA,NA
Hollardia meadi,4271,54,450,30,N,NA,NA,NA,NA,NA,NA,NA,NA
Holocentrus adscensionis,1061,0,180,37,N,25,S,97,W,13,E,NA,NA
Holocentrus rufus,1062,0,32,36,N,28,s,98,w,31,w,NA,NA
Hologymnosus annulatus,5637,8,40,32,N,28,S,NA,NA,NA,NA,25,28
Hologymnosus doliatus,5638,1,35,32,N,30,S,NA,NA,NA,NA,25,28
Hologymnosus rhodonotus,7581,15,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Holohalaelurus punctatus,828,220,440,4,S,37,S,NA,NA,NA,NA,NA,NA
Holohalaelurus regani,829,NA,1075,4,S,37,S,NA,NA,NA,NA,NA,NA
Holtbyrnia anomala,11312,700,2700,66,N,58,s,98,w,32,e,NA,NA
Holtbyrnia innesi,11316,100,1500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Holtbyrnia laticauda,15817,1140,1630,31,S,46,S,NA,NA,NA,NA,NA,NA
Holtbyrnia latifrons,54586,225,1400,55,n,23,S,135,w,70,w,NA,NA
Holtbyrnia macrops,11338,100,1000,70,N,35,S,34,W,20,E,NA,NA
Homostolus acer,8536,300,1000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hoplichthys acanthopleurus,10696,120,457,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hoplichthys citrinus,15156,183,490,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hoplichthys fasciatus,23902,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hoplichthys filamentosus,15158,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hoplichthys gilberti,8261,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hoplichthys haswelli,14346,140,700,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hoplichthys langsdorfii,23901,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hoplichthys regani,10578,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hoplobrotula armata,12563,200,350,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hoplobrotula gnathopus,7628,180,550,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hoplolatilus chlupatyi,15341,30,55,NA,NA,NA,NA,NA,NA,NA,NA,22,27
Hoplolatilus cuniculus,5792,25,115,30,N,25,S,48,e,149,w,22,27
Hoplolatilus fronticinctus,5793,40,70,24,N,21,S,NA,NA,NA,NA,NA,NA
Hoplolatilus marcosi,13010,18,100,NA,NA,NA,NA,NA,NA,NA,NA,22,28
Hoplolatilus purpureus,15342,30,85,NA,NA,NA,NA,NA,NA,NA,NA,22,28
Hoplolatilus starcki,5794,20,105,19,N,23,S,NA,NA,NA,NA,21,26
Hoplopagrus guentherii,1393,0,50,35,N,5,S,120,W,76,W,NA,NA
Hoplosebastes armatus,23875,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hoplostethus atlanticus,334,180,1809,65,N,56,S,84,W,168,W,3,9
Hoplostethus atlanticus,334,180,1809,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hoplostethus cadenati,5471,70,1000,28,N,27,S,NA,NA,NA,NA,NA,NA
Hoplostethus crassispinus,15678,280,600,34,N,18,N,109,E,153,W,NA,NA
Hoplostethus gigas,15635,237,311,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hoplostethus grandperrini,66718,500,675,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hoplostethus japonicus,15674,336,605,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hoplostethus latus,14720,146,586,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hoplostethus mediterraneus,4964,100,1408,68,n,78,s,98,w,167,w,NA,NA
Hoplostethus melanopeza,66717,250,400,33,s,37,s,NA,NA,NA,NA,NA,NA
Hoplostethus melanopus,10668,400,914,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hoplostethus mento,15696,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hoplostethus occidentalis,15670,485,550,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hoplostethus ravurictus,65347,250,1000,10,S,20,S,NA,NA,NA,NA,NA,NA
Hoplunnis diomediana,2621,NA,203,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hoplunnis macrura,2622,55,310,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hoplunnis punctata,9072,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hoplunnis tenuis,2623,130,420,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Howella atlantica,67032,100,1800,75,N,25,S,85,W,0,W,NA,NA
Howella brodiei,11780,100,1829,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Howella parini,23395,320,430,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Howella sherborni,5054,26,950,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Howella zina,23396,322,400,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hozukius emblemarius,23872,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hozukius guyotensis,23873,500,1000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Huso dauricus,4633,0,50,55,N,43,N,NA,NA,NA,NA,10,20
Huso huso,2067,70,180,57,N,35,N,13,E,60,E,10,20
Huso huso,2067,70,180,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Huso huso,2067,70,180,49,N,43,N,NA,NA,NA,NA,NA,NA
Huso huso,2067,70,180,51,N,35,N,NA,NA,NA,NA,NA,NA
Hydrolagus affinis,5441,300,3000,70,N,58,s,80,w,41,e,NA,NA
Hydrolagus africanus,10131,421,750,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hydrolagus barbouri,12979,100,1100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hydrolagus bemisi,60030,400,1100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hydrolagus colliei,2589,0,913,59,N,8,N,141,w,83,w,NA,NA
Hydrolagus erithacus,68563,470,1000,39,s,47,s,NA,NA,NA,NA,NA,NA
Hydrolagus homonycteris,64162,866,1447,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hydrolagus lusitanicus,63207,NA,1600,41,N,36,N,10,W,8,W,NA,NA
