Species,SpecCode,TempMin,TempMax
Adelotremus leptus,67382,NA,NA
Adventor elongatus,27470,NA,NA
Aenigmachanna gollum,69391,NA,NA
Aeoliscus punctulatus,7986,NA,NA
Aeoliscus strigatus,6503,NA,NA
Aesopia cornuta,7850,NA,NA
Aetapcus maculatus,12086,NA,NA
Aethaloperca rogaa,6441,NA,NA
Aetheliparis taurocanis,66721,NA,NA
Aethotaxis mitopteryx,7037,NA,NA
Aetobatus flagellum,8973,NA,NA
Aetobatus laticeps,69023,NA,NA
Aetobatus narinari,1250,NA,NA
Aetobatus narutobiei,67276,NA,NA
Aetobatus ocellatus,12600,NA,NA
Aetomylaeus asperrimus,13200,NA,NA
Aetomylaeus bovinus,5011,NA,NA
Aetomylaeus caeruleofasciatus,67984,NA,NA
Agonomalus jordani,23989,NA,NA
Agonomalus mozinoi,4150,NA,NA
Agonomalus proboscidalis,13066,NA,NA
Agonopsis asperoculis,62091,NA,NA
Agonopsis chiloensis,12932,NA,NA
Agonopsis sterletus,4151,NA,NA
Agonopsis vulsa,4152,NA,NA
Agonostomus telfairii,7860,NA,NA
Agonus cataphractus,36,4,8
Agrostichthys parkeri,16851,NA,NA
Alepisaurus ferox,99,NA,NA
Alepocephalus agassizii,9171,NA,NA
Alepocephalus andersoni,58899,NA,NA
Alepocephalus antipodianus,58901,NA,NA
Alepocephalus asperifrons,58903,NA,NA
Alepocephalus australis,9172,NA,NA
Alepocephalus bairdii,230,NA,NA
Alepocephalus bicolor,7592,NA,NA
Alepocephalus blanfordii,58904,NA,NA
Alepocephalus dentifer,60307,NA,NA
Alepocephalus fundulus,58908,NA,NA
Alepocephalus longiceps,22691,NA,NA
Alepocephalus longirostris,22693,NA,NA
Alepocephalus melas,55082,NA,NA
Alepocephalus owstoni,22688,NA,NA
Alepocephalus planifrons,58911,NA,NA
Alepocephalus productus,10000,NA,NA
Alepocephalus rostratus,5071,NA,NA
Alepocephalus tenebrosus,11590,NA,NA
Alepocephalus triangularis,22694,NA,NA
Alepocephalus umbriceps,22687,NA,NA
Alertichthys blacki,46981,NA,NA
Ahlia egmontis,2633,NA,NA
Ahliesaurus berryi,9155,NA,NA
Ahliesaurus brevis,22983,NA,NA
Aiakas kreffti,47911,NA,NA
Aiakas zinorum,47912,NA,NA
Aidablennius sphynx,25971,NA,NA
Aioliops brachypterus,59224,NA,NA
Aioliops megastigma,59225,NA,NA
Aioliops novaeguineae,27609,NA,NA
Aioliops tetrophthalmus,60866,NA,NA
Akarotaxis nudiceps,7093,NA,NA
Akheilos suwartanai,69495,NA,NA
Akko brevis,54387,NA,NA
Akko dionaea,56506,NA,NA
Akko rossi,62085,NA,NA
Alabes bathys,64541,NA,NA
Alabes brevis,55697,NA,NA
Alabes dorsalis,51362,NA,NA
Alabes elongata,62615,NA,NA
Alabes gibbosa,62616,NA,NA
Alabes hoesei,51367,NA,NA
Alabes obtusirostris,62634,NA,NA
Alabes occidentalis,62635,NA,NA
Alabes parvula,27497,NA,NA
Alabes scotti,62638,NA,NA
Alabes springeri,64542,NA,NA
Albatrossia pectoralis,8435,NA,NA
Albula argentea,58326,NA,NA
Albula esuncula,65525,NA,NA
Albula gilberti,66312,NA,NA
Albula goreensis,67597,NA,NA
Albula koreana,66113,NA,NA
Albula oligolepis,63907,NA,NA
Albula pacifica,67476,NA,NA
Albula virgata,63908,NA,NA
Albula vulpes,228,NA,NA
Alcichthys elongatus,61290,NA,NA
Alcockia rostrata,52723,NA,NA
Aldrichetta forsteri,12938,NA,28
Aldrovandia affinis,7502,NA,NA
Aldrovandia gracilis,9009,NA,NA
Aldrovandia mediorostris,59483,NA,NA
Aldrovandia oleosa,9011,NA,NA
Aldrovandia phalacra,9012,NA,NA
Aldrovandia rostrata,9013,NA,NA
Alectis ciliaris,988,NA,NA
Alectrias alectrolophus,3772,NA,NA
Alectrias benjamini,25022,NA,NA
Alectrias cirratus,50409,NA,NA
Alectrias gallinus,61164,NA,NA
Alectrias markevichi,67405,NA,NA
Alectrias mutsuensis,56843,NA,NA
Alectridium aurantiacum,3773,NA,NA
Alepes apercna,15332,NA,NA
Alepes djedaba,1889,NA,NA
Alepes kleinii,1903,NA,NA
Alepes melanoptera,1890,NA,NA
Alepes vari,1891,NA,NA
Alepisaurus brevirostris,2728,NA,NA
Alionematichthys ceylonensis,64957,NA,NA
