ncbi_taxon_id,species,subspecies,family_x,target_list_status,sequencing_status,synonym,publication_id,aphia_id,url,scientificname,authority,status,rank,valid_AphiaID,valid_name,order,family_y,genus,isMarine,isBrackish,isFreshwater,isTerrestrial,isExtinct,modified,SpecCode,DepthRangeShallow,DepthRangeDeep,Northernmost,NorthSouthN,Southermost,NorthSouthS,Westernmost,WestEastW,Easternmost,WestEastE,TempMin,TempMax
980629,Stygnobrotula latebricola,-,Bythitidae,long_list,-,-,-,282910,https://www.marinespecies.org/aphia.php?p=taxdetails&id=282910,Stygnobrotula latebricola,"Böhlke, 1957",accepted,Species,282910,Stygnobrotula latebricola,Ophidiiformes,Bythitidae,Stygnobrotula,1,0,0,0,NA,2008-01-15T17:27:08Z,3127,NA,NA,NA,NA,21,S,NA,NA,NA,NA,NA,NA
981429,Albula oligolepis,-,Albulidae,long_list,-,-,-,398341,https://www.marinespecies.org/aphia.php?p=taxdetails&id=398341,Albula oligolepis,"Hidaka, Iwatsuki & Randall, 2008",accepted,Species,398341,Albula oligolepis,Albuliformes,Albulidae,Albula,1,0,0,0,NA,2009-06-10T14:51:32Z,63907,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
983308,Stiphodon imperiorientis,-,Gobiidae,long_list,-,-,-,475034,https://www.marinespecies.org/aphia.php?p=taxdetails&id=475034,Stiphodon imperiorientis,"Watson & Chen, 1998",accepted,Species,475034,Stiphodon imperiorientis,Gobiiformes,Gobiidae,Stiphodon,1,1,1,0,NA,2010-05-06T09:57:44Z,51780,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
983309,Stiphodon atropurpureus,-,Gobiidae,long_list,-,-,-,475033,https://www.marinespecies.org/aphia.php?p=taxdetails&id=475033,Stiphodon atropurpureus,"(Herre, 1927)",accepted,Species,475033,Stiphodon atropurpureus,Gobiiformes,Gobiidae,Stiphodon,1,1,1,0,NA,2010-05-06T09:57:44Z,51779,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
984773,Clinus musaicus,-,Clinidae,long_list,-,-,-,834937,https://www.marinespecies.org/aphia.php?p=taxdetails&id=834937,Clinus musaicus,"Holleman, von der Heyden & Zsilavecz, 2012",accepted,Species,834937,Clinus musaicus,Blenniiformes,Clinidae,Clinus,1,0,0,0,NA,2017-07-04T08:16:25Z,66667,9,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
984888,Hirundichthys rufipinnis,-,Exocoetidae,long_list,-,-,-,1021953,https://www.marinespecies.org/aphia.php?p=taxdetails&id=1021953,Hirundichthys rufipinnis,"(Valenciennes, 1847)",accepted,Species,1021953,Hirundichthys rufipinnis,Beloniformes,Exocoetidae,Hirundichthys,1,0,0,0,NA,2022-03-02T13:57:09Z,67994,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
985689,Charadrius peronii,-,Charadriidae,long_list,-,-,-,366842,https://www.marinespecies.org/aphia.php?p=taxdetails&id=366842,Charadrius peronii,"Schlegel, 1865",accepted,Species,366842,Charadrius peronii,Charadriiformes,Charadriidae,Charadrius,1,NA,NA,1,NA,2011-04-08T06:18:06Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
985690,Charadrius pecuarius,-,Charadriidae,long_list,-,-,-,366846,https://www.marinespecies.org/aphia.php?p=taxdetails&id=366846,Charadrius pecuarius,"Temminck, 1823",accepted,Species,366846,Charadrius pecuarius,Charadriiformes,Charadriidae,Charadrius,1,NA,NA,1,NA,2011-04-08T06:18:06Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
986102,Opisthocentrus zonope,-,Stichaeidae,long_list,-,-,-,281918,https://www.marinespecies.org/aphia.php?p=taxdetails&id=281918,Opisthocentrus zonope,"Jordan & Snyder, 1902",accepted,Species,281918,Opisthocentrus zonope,Perciformes,Stichaeidae,Opisthocentrus,1,0,0,0,NA,2008-01-15T17:27:08Z,23785,0,70,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
986104,Askoldia variegata,-,Stichaeidae,long_list,-,-,-,279746,https://www.marinespecies.org/aphia.php?p=taxdetails&id=279746,Askoldia variegata,"Pavlenko, 1910",accepted,Species,279746,Askoldia variegata,Perciformes,Stichaeidae,Askoldia,1,0,0,0,NA,2008-01-15T17:27:08Z,50413,2,140,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
990214,Bryaninops yongei,-,Gobiidae,long_list,-,-,-,219391,https://www.marinespecies.org/aphia.php?p=taxdetails&id=219391,Bryaninops yongei,"(Davis & Cohen, 1969)",accepted,Species,219391,Bryaninops yongei,Gobiiformes,Gobiidae,Bryaninops,1,0,0,0,NA,2008-01-15T17:27:08Z,7251,3,45,30,N,28,S,NA,NA,NA,NA,22,26
990215,Caffrogobius saldanha,-,Gobiidae,long_list,-,-,-,219399,https://www.marinespecies.org/aphia.php?p=taxdetails&id=219399,Caffrogobius saldanha,"(Barnard, 1927)",accepted,Species,219399,Caffrogobius saldanha,Gobiiformes,Gobiidae,Caffrogobius,1,1,0,0,NA,2008-01-15T17:27:08Z,9976,0,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
990217,Exyrias belissimus,-,Gobiidae,long_list,-,-,-,219465,https://www.marinespecies.org/aphia.php?p=taxdetails&id=219465,Exyrias belissimus,"(Smith, 1959)",accepted,Species,219465,Exyrias belissimus,Gobiiformes,Gobiidae,Exyrias,1,0,0,0,NA,2008-01-15T17:27:08Z,370,1,30,30,N,30,S,NA,NA,NA,NA,NA,NA
990218,Fusigobius duospilus,-,Gobiidae,long_list,-,-,-,278766,https://www.marinespecies.org/aphia.php?p=taxdetails&id=278766,Fusigobius duospilus,"Hoese & Reader, 1985",accepted,Species,278766,Fusigobius duospilus,Gobiiformes,Gobiidae,Fusigobius,1,0,0,0,NA,2008-01-15T17:27:08Z,17056,1,46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
990223,Istigobius decoratus,-,Gobiidae,long_list,-,-,-,219504,https://www.marinespecies.org/aphia.php?p=taxdetails&id=219504,Istigobius decoratus,"(Herre, 1927)",accepted,Species,219504,Istigobius decoratus,Gobiiformes,Gobiidae,Istigobius,1,0,0,0,NA,2008-01-15T17:27:08Z,4328,1,25,30,N,40,S,NA,NA,NA,NA,23,29
990224,Kraemeria bryani,-,Kraemeriidae,long_list,-,-,-,276652,https://www.marinespecies.org/aphia.php?p=taxdetails&id=276652,Kraemeria bryani,"Schultz, 1941",accepted,Species,276652,Kraemeria bryani,Gobiiformes,Kraemeriidae,Kraemeria,1,1,0,0,NA,2008-01-15T17:27:08Z,22497,NA,NA,28,N,18,S,NA,NA,NA,NA,NA,NA
990225,Lythrypnus elasson,-,Gobiidae,long_list,-,-,-,281458,https://www.marinespecies.org/aphia.php?p=taxdetails&id=281458,Lythrypnus elasson,"Böhlke & Robins, 1960",accepted,Species,281458,Lythrypnus elasson,Gobiiformes,Gobiidae,Lythrypnus,1,0,0,0,NA,2008-01-15T17:27:08Z,16648,0,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
990227,Microdesmus carri,-,Microdesmidae,long_list,-,-,-,276224,https://www.marinespecies.org/aphia.php?p=taxdetails&id=276224,Microdesmus carri,"Gilbert, 1966",accepted,Species,276224,Microdesmus carri,Gobiiformes,Microdesmidae,Microdesmus,1,1,0,0,NA,2008-01-15T17:27:08Z,57941,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
990228,Microdesmus dipus,-,Microdesmidae,long_list,-,-,-,276225,https://www.marinespecies.org/aphia.php?p=taxdetails&id=276225,Microdesmus dipus,"Günther, 1864",accepted,Species,276225,Microdesmus dipus,Gobiiformes,Microdesmidae,Microdesmus,1,0,0,0,NA,2008-01-15T17:27:08Z,46817,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
990229,Paragobiodon modestus,-,Gobiidae,long_list,-,-,-,219538,https://www.marinespecies.org/aphia.php?p=taxdetails&id=219538,Paragobiodon modestus,"(Regan, 1908)",accepted,Species,219538,Paragobiodon modestus,Gobiiformes,Gobiidae,Paragobiodon,1,0,0,0,NA,2008-01-15T17:27:08Z,22477,3,15,30,N,32,S,NA,NA,NA,NA,NA,NA
990230,Priolepis hipoliti,-,Gobiidae,long_list,-,-,-,276769,https://www.marinespecies.org/aphia.php?p=taxdetails&id=276769,Priolepis hipoliti,"(Metzelaar, 1922)",accepted,Species,276769,Priolepis hipoliti,Gobiiformes,Gobiidae,Priolepis,1,0,0,0,NA,2008-01-15T17:27:08Z,3897,1,130,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
990231,Trimma flammeum,-,Gobiidae,long_list,-,-,-,219582,https://www.marinespecies.org/aphia.php?p=taxdetails&id=219582,Trimma flammeum,"(Smith, 1959)",accepted,Species,219582,Trimma flammeum,Gobiiformes,Gobiidae,Trimma,1,0,0,0,NA,2008-01-15T17:27:08Z,25543,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
990270,Coryogalops anomolus,-,Gobiidae,long_list,-,-,-,219415,https://www.marinespecies.org/aphia.php?p=taxdetails&id=219415,Coryogalops anomolus,"Smith, 1958",accepted,Species,219415,Coryogalops anomolus,Gobiiformes,Gobiidae,Coryogalops,1,0,0,0,NA,2008-01-15T17:27:08Z,46394,1,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
990279,Ophiogobius jenynsi,-,Gobiidae,long_list,-,-,-,281898,https://www.marinespecies.org/aphia.php?p=taxdetails&id=281898,Ophiogobius jenynsi,"Hoese, 1976",accepted,Species,281898,Ophiogobius jenynsi,Gobiiformes,Gobiidae,Ophiogobius,1,0,0,0,NA,2008-01-15T17:27:08Z,55267,NA,80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
990551,Acanthistius joanae,-,Serranidae,long_list,-,-,-,474967,https://www.marinespecies.org/aphia.php?p=taxdetails&id=474967,Acanthistius joanae,"Heemstra, 2010",accepted,Species,474967,Acanthistius joanae,Perciformes,Anthiadidae,Acanthistius,1,0,0,0,NA,2017-08-17T11:43:43Z,65330,23,140,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
990552,Amblyeleotris aurora,-,Gobiidae,long_list,-,-,-,209272,https://www.marinespecies.org/aphia.php?p=taxdetails&id=209272,Amblyeleotris aurora,"(Polunin & Lubbock, 1977)",accepted,Species,209272,Amblyeleotris aurora,Gobiiformes,Gobiidae,Amblyeleotris,1,0,0,0,NA,2008-01-15T17:27:08Z,12694,5,40,NA,NA,NA,NA,NA,NA,NA,NA,21,28
990553,Amblygobius albimaculatus,-,Gobiidae,long_list,-,-,-,219379,https://www.marinespecies.org/aphia.php?p=taxdetails&id=219379,Amblygobius albimaculatus,"(Rüppell, 1830)",accepted,Species,219379,Amblygobius albimaculatus,Gobiiformes,Gobiidae,Amblygobius,1,1,0,0,NA,2008-01-15T17:27:08Z,6675,10,20,NA,NA,NA,NA,NA,NA,NA,NA,22,30
990554,Antigonia rubescens,-,Caproidae,long_list,-,-,-,217962,https://www.marinespecies.org/aphia.php?p=taxdetails&id=217962,Antigonia rubescens,"(Günther, 1860)",accepted,Species,217962,Antigonia rubescens,Acanthuriformes,Antigoniidae,Antigonia,1,0,0,0,NA,2008-01-15T17:27:08Z,7651,50,750,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
990556,Argyrops filamentosus,-,Sparidae,long_list,-,-,-,218591,https://www.marinespecies.org/aphia.php?p=taxdetails&id=218591,Argyrops filamentosus,"(Valenciennes, 1830)",accepted,Species,218591,Argyrops filamentosus,Eupercaria incertae sedis,Sparidae,Argyrops,1,0,0,0,NA,2008-01-15T17:27:08Z,4541,50,200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
990557,Ateleopus natalensis,-,Ateleopodidae,long_list,-,-,-,221389,https://www.marinespecies.org/aphia.php?p=taxdetails&id=221389,Ateleopus natalensis,"Regan, 1921",accepted,Species,221389,Ateleopus natalensis,Ateleopodiformes,Ateleopodidae,Ateleopus,1,0,0,0,NA,2008-01-15T17:27:08Z,10662,145,660,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
990558,Atherina breviceps,-,Atherinidae,long_list,-,-,-,217877,https://www.marinespecies.org/aphia.php?p=taxdetails&id=217877,Atherina breviceps,"Valenciennes, 1835",accepted,Species,217877,Atherina breviceps,Atheriniformes,Atherinidae,Atherina,1,1,1,0,NA,2008-01-15T17:27:08Z,1301,NA,NA,27,S,35,S,NA,NA,NA,NA,NA,NA
